Outcome	drug	Outcome2
No-Effect	YS-035	No-Effect
No-Effect	A-939572	No-Effect
No-Effect	BINA	No-Effect
Manual Inspection	MRK-560	No-Effect
No-Effect	AC-261066	No-Effect
No-Effect	AG-490	No-Effect
No-Effect	P7C3	No-Effect
No-Effect	DSR-6434	No-Effect
Strong (80%)	puromycin	No-Effect
No-Effect	exo-IWR-1	No-Effect
No-Effect	CBiPES	No-Effect
Weak (50%)	WH-4-023	Weak (50%)
No-Effect	bicuculline-(+)	No-Effect
No-Effect	A-7	No-Effect
No-Effect	reversan	No-Effect
No-Effect	4-(4-fluorobenzoyl)-1-(4-phenylbutyl)-piperidine	No-Effect
No-Effect	thiodiglycol	No-Effect
No-Effect	MDL-72832	No-Effect
Weak (50%)	GPP-78	Weak (50%)
No-Effect	deoxyepinephrine	No-Effect
No-Effect	bicuculline-methochloride-(-)	No-Effect
No-Effect	U-50488-(-)	No-Effect
No-Effect	CP-471474	No-Effect
Cyto	PD-166285	Cyto
Manual Inspection	IPAG	Strong (80%)
Strong (80%)	MCOPPB	Strong (80%)
No-Effect	azalomycin-B	No-Effect
No-Effect	tetroquinone	No-Effect
No-Effect	L-693403	No-Effect
No-Effect	MY-5445	No-Effect
No-Effect	SC-9	No-Effect
Weak (50%)	oridonin	Weak (50%)
No-Effect	rutaecarpine	No-Effect
No-Effect	10-hydroxycamptothecin	No-Effect
No-Effect	tangeritin	No-Effect
No-Effect	formononetin	No-Effect
No-Effect	bergenin	No-Effect
No-Effect	cyclocytidine	No-Effect
No-Effect	geniposide	No-Effect
No-Effect	broxaldine	No-Effect
Cyto	epiandrosterone	Cyto
Manual Inspection	catharanthine	No-Effect
Strong (80%)	UNC2025	Strong (80%)
No-Effect	WR99210	No-Effect
Manual Inspection	PJ-34	No-Effect
Very Weak (35%)	apigenin	Very Weak (35%)
No-Effect	madrasin	No-Effect
No-Effect	capobenic-acid	No-Effect
No-Effect	Ro-9187	No-Effect
Low (25%)	L-ascorbyl-6-palmitate	Low (25%)
No-Effect	N6-methyladenosine	No-Effect
Low (25%)	TCS-HDAC6-20b	Low (25%)
No-Effect	PPY-A	No-Effect
No-Effect	TC-Mps1-12	No-Effect
Weak (50%)	CCT-031374	Weak (50%)
No-Effect	KL-001	No-Effect
No-Effect	CID-2011756	No-Effect
No-Effect	NS-8593	No-Effect
No-Effect	CCG-50014	No-Effect
No-Effect	EPPTB	No-Effect
Low (25%)	CE3F4	Low (25%)
No-Effect	VU0422288	No-Effect
No-Effect	C34	No-Effect
Strong (80%)	VU0238429	No-Effect
No-Effect	UBP-310	No-Effect
No-Effect	APcK-110	No-Effect
No-Effect	CGP-78608	No-Effect
Manual Inspection	SC-19220	No-Effect
Cyto	PSNCBAM-1	Cyto
No-Effect	3-MPPI	No-Effect
Manual Inspection	CU-T12-9	No-Effect
No-Effect	arcyriaflavin-a	No-Effect
Low (25%)	PRE-084	Low (25%)
No-Effect	alpha-methylhistamine-dihydrobromide-(S)-(+)	No-Effect
No-Effect	EIPA	No-Effect
No-Effect	ML10302	No-Effect
Very Weak (35%)	PF-429242	Very Weak (35%)
Manual Inspection	AH11110	No-Effect
No-Effect	AG-556	No-Effect
No-Effect	LY344864	No-Effect
Low (25%)	AC-55649	Low (25%)
No-Effect	DCP-LA	No-Effect
No-Effect	PFI-4	No-Effect
No-Effect	CGP-37157	No-Effect
Manual Inspection	XD-14	No-Effect
Very Weak (35%)	SB-222200	Very Weak (35%)
Manual Inspection	GR-159897	No-Effect
Very Weak (35%)	CIM-0216	Very Weak (35%)
No-Effect	NMDA	No-Effect
No-Effect	oxolinic-acid	No-Effect
Low (25%)	JNJ-63533054	Low (25%)
No-Effect	CINPA-1	No-Effect
No-Effect	yoda-1	No-Effect
Cyto	CGP-60474	Cyto
No-Effect	4-P-PDOT	No-Effect
No-Effect	pyrrolidine-dithiocarbamate	No-Effect
No-Effect	costunolide	No-Effect
No-Effect	IDRA-21	No-Effect
Very Weak (35%)	MI-14	Very Weak (35%)
No-Effect	S4	No-Effect
No-Effect	immepip	No-Effect
No-Effect	daminozide	No-Effect
No-Effect	fenclonine-(+/-)	No-Effect
No-Effect	4,4-pentamethylenepiperidine	No-Effect
Low (25%)	BU226	Low (25%)
No-Effect	cimaterol	No-Effect
Low (25%)	guancydine	Low (25%)
Manual Inspection	1-EBIO	No-Effect
No-Effect	L-quisqualic-acid	No-Effect
No-Effect	cis-ACPD	No-Effect
No-Effect	4-HQN	No-Effect
No-Effect	MK-8745	No-Effect
Manual Inspection	BRD9876	No-Effect
Manual Inspection	cholesterol	No-Effect
No-Effect	SCH-202676	No-Effect
No-Effect	nutlin-3	No-Effect
No-Effect	N-(2-chlorophenyl)-2-({(2E)-2-[1-(2-pyridinyl)ethylidene]hydrazino}carbothioyl)hydrazinecarbothioamide	No-Effect
No-Effect	BHQ	No-Effect
Low (25%)	MN-64	Low (25%)
No-Effect	proxyfan	No-Effect
Low (25%)	ETP-45658	Low (25%)
No-Effect	OICR-9429	No-Effect
No-Effect	dimethadione	No-Effect
No-Effect	palmatine-chloride	No-Effect
No-Effect	TCN238	No-Effect
Manual Inspection	nor-binaltorphimine	No-Effect
No-Effect	cyclic-AMP	No-Effect
Low (25%)	GSK269962	Low (25%)
No-Effect	TC-G-1000	No-Effect
No-Effect	NSC-9965	No-Effect
No-Effect	SM-21	No-Effect
Weak (50%)	protoporphyrin-IX	Weak (50%)
Very Weak (35%)	dehydrocholate-acid	Very Weak (35%)
Low (25%)	geniposidic-acid	Low (25%)
No-Effect	GSK2830371	No-Effect
Cyto	VUF10166	Cyto
No-Effect	WIN-64338	No-Effect
No-Effect	SB-328437	No-Effect
No-Effect	6-chloromelatonin	No-Effect
No-Effect	BRL-44408	No-Effect
Manual Inspection	4BP-TQS	No-Effect
Manual Inspection	IWP-L6	No-Effect
Manual Inspection	ANR-94	No-Effect
Manual Inspection	A-867744	No-Effect
Low (25%)	JLK-6	Low (25%)
No-Effect	allylisothiocyanate	No-Effect
No-Effect	kainic-acid	No-Effect
Low (25%)	BIMU-8	Low (25%)
Strong (80%)	proadifen	Strong (80%)
Cyto	RN-1747	Cyto
No-Effect	GNF-2	No-Effect
No-Effect	STF-118804	No-Effect
No-Effect	AP-18	No-Effect
No-Effect	FIPI	No-Effect
No-Effect	tyrphostin-AG-99	No-Effect
Very Weak (35%)	L-cysteinesulfinic-acid	Very Weak (35%)
Very Weak (35%)	AC-264613	Very Weak (35%)
No-Effect	GS-39783	No-Effect
No-Effect	PD-81723	No-Effect
Very Weak (35%)	AEG3482	Very Weak (35%)
Manual Inspection	phenylmercuric-acetate	No-Effect
No-Effect	HER2-Inhibitor-1	No-Effect
Very Weak (35%)	RS-17053	Very Weak (35%)
No-Effect	N-oxydiethylenebenzothiazole-2-sulfenamide	No-Effect
No-Effect	L-phenylisopropyladenosine	No-Effect
No-Effect	PK-44	No-Effect
No-Effect	ONO-AE3-208	No-Effect
Very Weak (35%)	JNJ-47965567	Very Weak (35%)
No-Effect	ARV-825	No-Effect
No-Effect	EXO-1	No-Effect
No-Effect	DHBP	No-Effect
No-Effect	M-25	No-Effect
Manual Inspection	20-HETE	No-Effect
Low (25%)	vanitiolide	Low (25%)
No-Effect	VU0364770	No-Effect
No-Effect	ethyl-paraben	No-Effect
No-Effect	salicyl-alcohol	No-Effect
Manual Inspection	SB-258585	No-Effect
No-Effect	GBR-12783	No-Effect
No-Effect	SB-366791	No-Effect
No-Effect	HA-130	No-Effect
No-Effect	hydroxyfasudil	No-Effect
No-Effect	MRS-3777	No-Effect
No-Effect	benzoin	No-Effect
No-Effect	DBeQ	No-Effect
No-Effect	JAK3-inhibitor-V	No-Effect
No-Effect	SNC-80	No-Effect
No-Effect	JNJ-17203212	No-Effect
No-Effect	OAC1	No-Effect
No-Effect	ZLN024	No-Effect
No-Effect	P22077	No-Effect
No-Effect	ethamivan	No-Effect
Manual Inspection	trichloroethylene	No-Effect
No-Effect	ABT-702	No-Effect
Manual Inspection	cyclopiazonic-acid	No-Effect
No-Effect	2-methyl-5-hydroxytryptamine	No-Effect
No-Effect	NSC-663284	No-Effect
No-Effect	KU-0063794	No-Effect
No-Effect	5-methylfurmethiodide	No-Effect
Manual Inspection	SDM25N	No-Effect
No-Effect	2-ethyl-1,3-hexanediol	No-Effect
No-Effect	spautin-1	No-Effect
No-Effect	DC-260126	No-Effect
Manual Inspection	ML193	No-Effect
Manual Inspection	SB-216641	No-Effect
Low (25%)	blebbistatin-(+/-)	Low (25%)
No-Effect	aloe-emodin	No-Effect
Low (25%)	SirReal-2	Low (25%)
No-Effect	WZ-3146	No-Effect
No-Effect	omega-(4-iodophenyl)pentadecanoic-acid	No-Effect
No-Effect	GANT-58	No-Effect
No-Effect	LRRK2-IN-1	No-Effect
No-Effect	LH846	No-Effect
No-Effect	BX-912	No-Effect
No-Effect	RS-23597-190	No-Effect
No-Effect	3-indolebutyric-acid	No-Effect
No-Effect	hyperin	No-Effect
No-Effect	anabasine	No-Effect
No-Effect	UNC0638	No-Effect
No-Effect	2-hydroxy-4-((E)-3-(4-hydroxyphenyl)acryloyl)-2-((2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl)-6-((2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl)cyclohexane-1,3,5-trione	No-Effect
No-Effect	EG00229	No-Effect
No-Effect	PIK-75	No-Effect
No-Effect	CPI-203	No-Effect
No-Effect	I-BET151	No-Effect
No-Effect	GPI-1046	No-Effect
No-Effect	VU0240551	No-Effect
No-Effect	KHK-IN-1	No-Effect
Low (25%)	CHIR-124	Low (25%)
Low (25%)	GSK650394	Low (25%)
Low (25%)	WAY-316606	Low (25%)
No-Effect	PF-4800567	No-Effect
No-Effect	cirazoline	No-Effect
No-Effect	bisindolylmaleimide-IX	No-Effect
No-Effect	LY294002	No-Effect
No-Effect	7,8,9,10-tetrahydroazepino[2,1-b]quinazolin-12(6H)-one	No-Effect
No-Effect	A61603	No-Effect
No-Effect	Ro-48-8071	No-Effect
No-Effect	CGP-20712A	No-Effect
No-Effect	g-caryophyllene	No-Effect
No-Effect	sulfanilate-zinc	No-Effect
Manual Inspection	CDK9-IN-6	No-Effect
No-Effect	LDC1267	No-Effect
No-Effect	BW-616U	No-Effect
Manual Inspection	pravadoline	No-Effect
No-Effect	kuromanin	No-Effect
No-Effect	TUG-770	No-Effect
No-Effect	KN-62	No-Effect
No-Effect	polyinosine	No-Effect
No-Effect	GPR120-modulator-1	No-Effect
No-Effect	ML314	No-Effect
No-Effect	Nampt-IN-1	No-Effect
No-Effect	tetramethylthiuram-monosulfide	No-Effect
No-Effect	octopamine	No-Effect
Manual Inspection	4-methylhistamine	No-Effect
No-Effect	sodium-orthovanadate	No-Effect
No-Effect	tyrphostin-AG-18	No-Effect
Low (25%)	dibenzothiophene	Low (25%)
No-Effect	9-aminoacridine	No-Effect
No-Effect	oxacyclohexadecan-2-one	No-Effect
No-Effect	NH125	No-Effect
No-Effect	AS-604850	No-Effect
No-Effect	NVP-TNKS656	No-Effect
No-Effect	mexeneone	No-Effect
No-Effect	desoxycortone	No-Effect
No-Effect	AS-2444697	No-Effect
No-Effect	KH-CB19	No-Effect
No-Effect	GNF-5	No-Effect
Cyto	STF-62247	Cyto
No-Effect	vanillylacetone	No-Effect
Manual Inspection	A-317491	No-Effect
No-Effect	genz-123346	No-Effect
No-Effect	8-bromo-cAMP	No-Effect
No-Effect	pirinixic-acid	No-Effect
No-Effect	Ro-3	No-Effect
No-Effect	SCH-58261	No-Effect
No-Effect	GR-113808	No-Effect
No-Effect	dynasore	No-Effect
Manual Inspection	CP-339818	No-Effect
No-Effect	L-655,708	No-Effect
No-Effect	SB-218795	No-Effect
No-Effect	EO-1428	No-Effect
No-Effect	17-PA	No-Effect
No-Effect	SDZ-220-040	No-Effect
No-Effect	ZM-39923	No-Effect
No-Effect	TCS-PIM-1-1	No-Effect
No-Effect	PQ-401	No-Effect
No-Effect	SB-200646	No-Effect
No-Effect	WHI-P154	No-Effect
No-Effect	DH-97	No-Effect
No-Effect	L-152804	No-Effect
No-Effect	butabindide	No-Effect
No-Effect	2'-MeCCPA	No-Effect
No-Effect	1,2,3,4,5,6-hexabromocyclohexane	No-Effect
Weak (50%)	NNC-05-2090	Weak (50%)
No-Effect	ACDPP	No-Effect
No-Effect	PD-407824	No-Effect
No-Effect	FPL-64176	No-Effect
Strong (80%)	PPT	Strong (80%)
Cyto	KF-38789	Cyto
Very Weak (35%)	KB-R7943	Very Weak (35%)
No-Effect	MRS-1334	No-Effect
Strong (80%)	Y-134	Strong (80%)
No-Effect	MG-624	No-Effect
No-Effect	KRN-633	No-Effect
No-Effect	SDZ-220-581	No-Effect
No-Effect	PF-750	No-Effect
No-Effect	purvalanol-A	No-Effect
No-Effect	NDT-9513727	No-Effect
No-Effect	L-168049	No-Effect
No-Effect	ORG-27569	No-Effect
No-Effect	L-733060	No-Effect
No-Effect	SR-59230A	No-Effect
No-Effect	JNJ-1661010	No-Effect
No-Effect	NNC-63-0532	No-Effect
No-Effect	VU1545	No-Effect
No-Effect	BMS-CCR2-22	No-Effect
Weak (50%)	AY-9944	Weak (50%)
No-Effect	SB-452533	No-Effect
No-Effect	OLDA	No-Effect
No-Effect	PSN-375963	No-Effect
No-Effect	Ro-25-6981	No-Effect
No-Effect	AZ-10606120	No-Effect
No-Effect	EMD-66684	No-Effect
Manual Inspection	SB-206553	No-Effect
No-Effect	BW-373U86	No-Effect
No-Effect	L-798106	No-Effect
No-Effect	A-769662	No-Effect
No-Effect	LY393558	No-Effect
No-Effect	GW-1929	No-Effect
No-Effect	L-165041	No-Effect
No-Effect	L-838417	No-Effect
No-Effect	ZD-7155	No-Effect
No-Effect	SC-560	No-Effect
No-Effect	rac-BHFF	No-Effect
No-Effect	GW-788388	No-Effect
No-Effect	RHC-80267	No-Effect
Low (25%)	PD-102807	Low (25%)
No-Effect	VU10010	No-Effect
No-Effect	R-96544	No-Effect
Strong (80%)	Y-29794	Strong (80%)
Strong (80%)	U-18666A	Strong (80%)
No-Effect	LY288513	No-Effect
No-Effect	A-438079	No-Effect
No-Effect	mevastatin	No-Effect
No-Effect	GR125487	No-Effect
No-Effect	SDZ-21009	No-Effect
No-Effect	NNC-711	No-Effect
No-Effect	PF-573228	No-Effect
No-Effect	Ro-60-0175	No-Effect
No-Effect	2-chloro-N6-cyclopentyladenosine	No-Effect
No-Effect	OMDM-2	No-Effect
No-Effect	A77636	No-Effect
No-Effect	GW-843682X	No-Effect
Manual Inspection	S-14506	No-Effect
No-Effect	SB-399885	No-Effect
No-Effect	o-3M3FBS	No-Effect
No-Effect	Ro-61-8048	No-Effect
No-Effect	IEM1460	No-Effect
Low (25%)	GW-9662	Low (25%)
No-Effect	SB-415286	No-Effect
No-Effect	purvalanol-B	No-Effect
No-Effect	GF109203X	No-Effect
No-Effect	BMS-191011	No-Effect
Manual Inspection	tyrphostin-AG-825	No-Effect
No-Effect	daphnetin	No-Effect
No-Effect	ethoxyquin	No-Effect
No-Effect	dehydroacetic-acid	No-Effect
No-Effect	L-(+)-rhamnose-monohydrate	No-Effect
No-Effect	N6-cyclopentyladenosine	No-Effect
No-Effect	NBI-27914	No-Effect
No-Effect	IRL-2500	No-Effect
No-Effect	KPT-276	No-Effect
No-Effect	paeonol	No-Effect
No-Effect	cyclamic-acid	No-Effect
No-Effect	terpene	No-Effect
Weak (50%)	AZD3463	Weak (50%)
No-Effect	JZL-195	No-Effect
No-Effect	CTEP	No-Effect
No-Effect	caffeic-acid	No-Effect
No-Effect	osthol	No-Effect
No-Effect	limonin	No-Effect
No-Effect	BTB06584	No-Effect
No-Effect	COR-170	No-Effect
No-Effect	NVP-BVU972	No-Effect
Very Weak (35%)	BET-BAY-002	Very Weak (35%)
No-Effect	SA-47	No-Effect
No-Effect	BTT-3033	No-Effect
No-Effect	SSR128129E	No-Effect
Very Weak (35%)	NS-11021	Very Weak (35%)
No-Effect	BIX-02188	No-Effect
No-Effect	ML277	No-Effect
No-Effect	GSK9027	No-Effect
No-Effect	VUF11207	No-Effect
Manual Inspection	BETP	No-Effect
No-Effect	EB-47	No-Effect
No-Effect	KB-SRC-4	No-Effect
No-Effect	TC-I-15	No-Effect
No-Effect	ORG-25543	No-Effect
No-Effect	4EGI-1	No-Effect
No-Effect	KY02111	No-Effect
Manual Inspection	Gue-1654	No-Effect
No-Effect	ML218	No-Effect
No-Effect	ANA-12	No-Effect
Weak (50%)	CYM-50358	Weak (50%)
No-Effect	Ro-3306	No-Effect
No-Effect	GW-6471	No-Effect
No-Effect	SHA-68	No-Effect
No-Effect	JW-67	No-Effect
No-Effect	ICG-001	No-Effect
No-Effect	UNC1215	No-Effect
No-Effect	CYM-50260	No-Effect
No-Effect	UNC926	No-Effect
Low (25%)	EC-144	Low (25%)
No-Effect	phlorizin	No-Effect
No-Effect	SB-747651A	No-Effect
No-Effect	AS-1269574	No-Effect
Manual Inspection	A-412997	No-Effect
No-Effect	AL-8697	No-Effect
No-Effect	TWS-119	No-Effect
No-Effect	KS-176	No-Effect
No-Effect	kartogenin	No-Effect
No-Effect	TC-OT-39	No-Effect
Strong (80%)	IT1t	Strong (80%)
No-Effect	DMH1	No-Effect
No-Effect	TCN201	No-Effect
No-Effect	SB-706375	No-Effect
No-Effect	CCMI	No-Effect
No-Effect	BCTC	No-Effect
No-Effect	TC-FPR-43	No-Effect
No-Effect	GSK-J4	No-Effect
Strong (80%)	VU0364739	Strong (80%)
No-Effect	DRF053-(R)	No-Effect
Manual Inspection	RG108	No-Effect
No-Effect	3,3'-dichlorobenzaldazine	No-Effect
No-Effect	PMPA	No-Effect
No-Effect	AVE-0991	No-Effect
No-Effect	SP-100030	No-Effect
No-Effect	diarylpropionitrile	No-Effect
Very Weak (35%)	BAG-956	Very Weak (35%)
No-Effect	SID-7969543	No-Effect
Manual Inspection	A-922500	No-Effect
No-Effect	ST-91	No-Effect
No-Effect	SUN-B-8155	No-Effect
Low (25%)	2-chloroadenosine	Low (25%)
No-Effect	pyrazolanthrone	No-Effect
No-Effect	SU4312	No-Effect
No-Effect	oxidopamine	No-Effect
No-Effect	CGP-7930	No-Effect
Manual Inspection	3,4-DCPG-(S)	No-Effect
No-Effect	CGP-13501	No-Effect
Cyto	brefeldin-A	Cyto
No-Effect	3,4-DCPG-(R)	No-Effect
Low (25%)	SDZ-SER-082	Low (25%)
No-Effect	HEMADO	No-Effect
No-Effect	1-deoxymannojirimycin	No-Effect
No-Effect	SB-221284	No-Effect
No-Effect	LY303511	No-Effect
No-Effect	RX-821002	No-Effect
No-Effect	olomoucine	No-Effect
No-Effect	MNITMT	No-Effect
No-Effect	3,4-DCPG-(+/-)	No-Effect
No-Effect	CDPPB	No-Effect
No-Effect	BRL-54443	No-Effect
No-Effect	LY456236	No-Effect
Cyto	caffeic-acid-phenethyl-ester	Cyto
No-Effect	U-0124	No-Effect
Cyto	anisomycin	Cyto
No-Effect	PP-1	No-Effect
No-Effect	AMG-9810	No-Effect
Weak (50%)	indatraline	Weak (50%)
No-Effect	CCMQ	No-Effect
No-Effect	ZM-447439	No-Effect
No-Effect	MIRA-1	No-Effect
No-Effect	CH55	No-Effect
No-Effect	stemregenin-1	No-Effect
No-Effect	PD-168077	No-Effect
No-Effect	neurodazine	No-Effect
No-Effect	GW-9508	No-Effect
Low (25%)	Ro-10-5824	Low (25%)
No-Effect	EMD-386088	No-Effect
No-Effect	L-NIL	No-Effect
Low (25%)	PD-118057	Low (25%)
No-Effect	azomycin-(2-nitroimidazole)	No-Effect
Low (25%)	aminothiazole	Low (25%)
No-Effect	SKF-91488	No-Effect
No-Effect	5-BDBD	No-Effect
Manual Inspection	LSN-2463359	No-Effect
No-Effect	ferrostatin-1	No-Effect
Low (25%)	JK-184	Low (25%)
Low (25%)	flufenamic-acid	Low (25%)
No-Effect	BAY-K-8644-(s)-(-)	No-Effect
Low (25%)	repsox	Low (25%)
No-Effect	hesperadin	No-Effect
No-Effect	JIB04	No-Effect
No-Effect	NBQX	No-Effect
No-Effect	BTB1	No-Effect
No-Effect	AZD3988	No-Effect
Manual Inspection	5,7-dichlorokynurenic-acid	No-Effect
Very Weak (35%)	VU0361737	Very Weak (35%)
No-Effect	NSC-405020	No-Effect
No-Effect	FG-7142	No-Effect
Low (25%)	DS2-(806622)	Low (25%)
No-Effect	3-carboxy-4-hydroxyphenylglycine-(R)	No-Effect
No-Effect	NS-9283	No-Effect
No-Effect	4-chlorophenylguanidine	No-Effect
No-Effect	saclofen	No-Effect
No-Effect	1,3-dipropyl-8-phenylxanthine	No-Effect
No-Effect	NSC-697923	No-Effect
No-Effect	SCH-51344	No-Effect
No-Effect	ML365	No-Effect
No-Effect	UNC2327	No-Effect
Manual Inspection	oxiniacic-acid	No-Effect
No-Effect	TC-G-1008	No-Effect
No-Effect	acetanilide	No-Effect
No-Effect	allylthiourea	No-Effect
No-Effect	oleanolic-acid	No-Effect
No-Effect	CGP-71683	No-Effect
Manual Inspection	PD-160170	No-Effect
No-Effect	ribitol	No-Effect
No-Effect	2-chloropyrazine	No-Effect
No-Effect	2,6-dimethylpiperidine	No-Effect
No-Effect	RS-102895	No-Effect
No-Effect	octodrine	No-Effect
No-Effect	nornicotine	No-Effect
No-Effect	cinnamaldehyde	No-Effect
No-Effect	asaraldehyde	No-Effect
No-Effect	vanillin	No-Effect
No-Effect	hexylene-glycol	No-Effect
Weak (50%)	NTNCB	Weak (50%)
No-Effect	AZD1283	No-Effect
No-Effect	PSB-36	No-Effect
No-Effect	S26948	No-Effect
No-Effect	BMS-649	No-Effect
No-Effect	5'-chloro-5'-deoxy-ENBA-(+/-)	No-Effect
Very Weak (35%)	GSK2194069	Very Weak (35%)
No-Effect	PD-173212	No-Effect
No-Effect	NHI-2	No-Effect
No-Effect	M8-B	No-Effect
No-Effect	idramantone	No-Effect
No-Effect	hydroxytoluic-acid	No-Effect
No-Effect	PD-168568	No-Effect
No-Effect	NTRC-824	No-Effect
No-Effect	PIM-1-Inhibitor-2	No-Effect
No-Effect	RN-1734	No-Effect
No-Effect	sirtinol	No-Effect
No-Effect	SB-657510	No-Effect
No-Effect	CITCO	No-Effect
No-Effect	WWL-123	No-Effect
No-Effect	WAY-200070	No-Effect
No-Effect	SANT-2	No-Effect
No-Effect	TC-S-7003	No-Effect
No-Effect	RQ-00203078	No-Effect
No-Effect	NPY-5RA972	No-Effect
No-Effect	SR-3677	No-Effect
No-Effect	SC-51089	No-Effect
No-Effect	VU0155069	No-Effect
No-Effect	SB-612111	No-Effect
Manual Inspection	VU152100	No-Effect
Very Weak (35%)	PD-161570	Very Weak (35%)
No-Effect	G-15	No-Effect
No-Effect	G-1	No-Effect
Manual Inspection	MRS-2578	No-Effect
No-Effect	MRS-1845	No-Effect
No-Effect	ON-01500	No-Effect
No-Effect	Ro-04-5595	No-Effect
No-Effect	nTZDpa	No-Effect
Manual Inspection	SB-239063	No-Effect
No-Effect	CID-2745687	No-Effect
No-Effect	A740003	No-Effect
Very Weak (35%)	NPS-2143	Very Weak (35%)
Strong (80%)	CYM-5442	Strong (80%)
No-Effect	2,3-DCPE	No-Effect
No-Effect	niguldipine-(S)-(+)	No-Effect
No-Effect	apoptosis-activator-II	No-Effect
No-Effect	CP-673451	No-Effect
Very Weak (35%)	crizotinib-(S)	Very Weak (35%)
Strong (80%)	BAX-channel-blocker	Strong (80%)
No-Effect	Ro-15-4513	No-Effect
No-Effect	aminopurvalanol-a	No-Effect
No-Effect	XE-991	No-Effect
No-Effect	SDZ-205-557	No-Effect
No-Effect	CP-316819	No-Effect
No-Effect	PK-THPP	No-Effect
No-Effect	CFTRinh-172	No-Effect
No-Effect	corticosterone	No-Effect
No-Effect	CR8-(R)	No-Effect
No-Effect	GSK0660	No-Effect
No-Effect	sal003	No-Effect
No-Effect	DAU-5884	No-Effect
No-Effect	PNU-177864	No-Effect
No-Effect	ML348	No-Effect
Low (25%)	2-TEDC	Low (25%)
No-Effect	SBHA	No-Effect
No-Effect	SIB-1757	No-Effect
No-Effect	VU0360172	No-Effect
No-Effect	chicago-sky-blue-6b	No-Effect
No-Effect	SN-2	No-Effect
No-Effect	ONO-8130	No-Effect
No-Effect	urethane	No-Effect
No-Effect	PHA-568487	No-Effect
Low (25%)	PD-173074	Low (25%)
No-Effect	3-deazaneplanocin-A	No-Effect
No-Effect	trans-4-methoxycinnamic-acid	No-Effect
No-Effect	80841-78-7	No-Effect
Strong (80%)	GR-127935	Strong (80%)
No-Effect	NAN-190	No-Effect
No-Effect	NS-3861	No-Effect
No-Effect	TC-I-2014	No-Effect
No-Effect	gamma-aminobutyric-acid	No-Effect
No-Effect	SCH-221510	No-Effect
No-Effect	GP2a	No-Effect
No-Effect	TCS-2210	No-Effect
No-Effect	butylated-hydroxyanisole	No-Effect
No-Effect	sennoside-protonated	No-Effect
No-Effect	PNU-120596	No-Effect
No-Effect	SUN-11602	No-Effect
No-Effect	dihydroxyphenylglycine	No-Effect
Strong (80%)	ELN-441958	Strong (80%)
No-Effect	picolamine	No-Effect
No-Effect	impentamine	No-Effect
No-Effect	AZ960	No-Effect
No-Effect	diphenylguanidine	No-Effect
No-Effect	6-benzylaminopurine	No-Effect
No-Effect	7-hydroxy-PIPAT	No-Effect
No-Effect	PD-166793	No-Effect
No-Effect	GSK3787	No-Effect
No-Effect	BP-554	No-Effect
No-Effect	CHIR-99021	No-Effect
No-Effect	teijin-compound-1	No-Effect
No-Effect	L-670596	No-Effect
Manual Inspection	PD-128907	No-Effect
No-Effect	TC-G-1005	No-Effect
No-Effect	compound-w	No-Effect
Strong (80%)	10-DEBC	Strong (80%)
Manual Inspection	norvancomycin	No-Effect
No-Effect	U-54494A	No-Effect
No-Effect	NT157	No-Effect
No-Effect	A-1120	No-Effect
No-Effect	SB-269970	No-Effect
No-Effect	PSB-603	No-Effect
No-Effect	adiporon	No-Effect
No-Effect	3-anilinopropan-1-ol	No-Effect
No-Effect	spiroxatrine	No-Effect
No-Effect	stigmasterol	No-Effect
No-Effect	UPF-1069	No-Effect
No-Effect	AZM-475271	No-Effect
Weak (50%)	butein	Weak (50%)
No-Effect	ALX-40-4C	No-Effect
Manual Inspection	Ro-08-2750	No-Effect
No-Effect	T-0156	No-Effect
Manual Inspection	dixanthogen	No-Effect
No-Effect	GPi-688	No-Effect
No-Effect	TCS-359	No-Effect
No-Effect	alpha-D-glucopyranose	No-Effect
No-Effect	4-acetyl-1,1-dimethylpiperazinium	No-Effect
No-Effect	LDN-209929	No-Effect
No-Effect	ISRIB	No-Effect
No-Effect	JW-55	No-Effect
No-Effect	gabazine	No-Effect
No-Effect	FR-122047	No-Effect
No-Effect	squaric-acid-dibutyl-ester	No-Effect
No-Effect	polaprezinc	No-Effect
No-Effect	PP-2	No-Effect
Very Weak (35%)	deptropine	Very Weak (35%)
No-Effect	LY404187	No-Effect
No-Effect	benzoquinonium-dibromide	No-Effect
No-Effect	DWK-1339	No-Effect
No-Effect	benzyldimethylhexadecylammonium	No-Effect
No-Effect	UNC669	No-Effect
No-Effect	CV-1808	No-Effect
Manual Inspection	L-mimosine	No-Effect
No-Effect	TG-003	No-Effect
No-Effect	chlorindione	No-Effect
No-Effect	androsterone	No-Effect
No-Effect	indirubin-3-monoxime	No-Effect
No-Effect	SB-205384	No-Effect
Manual Inspection	SU16f	No-Effect
No-Effect	oxaceprol	No-Effect
No-Effect	PR-619	No-Effect
No-Effect	YC-1	No-Effect
No-Effect	vesamicol	No-Effect
No-Effect	S-trityl-L-cysteine	No-Effect
Low (25%)	eticlopride	Low (25%)
No-Effect	YM-90709	No-Effect
Strong (80%)	lylamine	Strong (80%)
